district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_std
73006,Friedenau Ost,2777,1964,1614,28,81,99,849,23,597.5578279266573,189.99936069073067,436.05263157894734,77.40404359535927,608.1458333333334,166.08405838717516,709.0416666666666,172.2385725861801,744.76856,134.41297718011955,901.0641025641025,343.33105979027977
74007,Tempelhof Nord,3432,2632,2035,18,133,98,974,20,625.6267916207277,214.67883160191462,500.6363636363636,195.44476085445356,629.5081967213115,247.81886012104485,726.8823529411765,158.05171901106596,833.5606666666667,157.70248682859466,923.9066666666666,396.14876312128314
74008,Tempelhof Südwest,4008,3710,3048,38,144,152,1728,31,575.7666422823702,187.5460700740245,423.2,94.75281817299229,583.1444444444444,147.53088125489248,701.9473684210526,169.74034246356734,806.1768500000001,147.11194994629966,950.1196581196581,424.3449345633069
74009,Tempelhof Südost,2524,2144,1743,17,164,143,922,56,599.3724007561436,209.35319973447383,439.4,101.78745361922418,581.0573770491803,149.3488511013549,744.0309278350516,185.458915801241,810.741838235294,214.95251114853946,932.1346153846154,413.94723311051456
75010,Mariendorf Nord,4024,3825,3153,35,88,111,1657,17,606.9232655921513,201.37448151870603,469.44827586206895,111.13877624936715,621.4,120.92044947832771,780.4285714285714,139.88164640152044,844.7526250000002,118.4952213253354,1017.3037974683544,418.76228966061956
75011,Mariendorf Süd,3256,3065,2534,37,84,106,1350,14,601.5956236323851,199.10305258839153,471.76666666666665,78.5522814407082,620.1136363636364,145.70457781336754,778.2727272727273,161.01846833788161,798.0519444444443,125.5446777879456,956.5901639344262,453.7940567059461
76012,Marienfelde Nord,2219,2068,1687,25,73,77,783,8,642.2432610124918,208.98430750931584,535.8095238095239,103.98972018792003,682.547619047619,205.24800018406674,825.0,178.21709607479676,971.4559444444444,180.3175371597274,988.4705882352941,425.8886776792746
76013,Marienfelde Süd,2259,2150,1770,22,55,54,576,4,685.2753530166881,202.0586293798012,574.7058823529412,118.125867566064,742.8064516129032,195.5921640139398,842.8484848484849,146.66759211140538,1005.9070588235293,160.75669778638718,1011.0263157894736,337.7012502551591
76014,Lichtenrade Nord,2350,2233,1855,33,37,80,488,3,715.3711598746081,219.43728975804834,575.24,107.8279030059783,728.9,182.69903350074202,863.7777777777778,151.00625446943874,884.5778333333333,62.466625391217214,1014.5384615384615,371.6147443504139
76015,Lichtenrade Süd,3635,3437,2831,39,85,113,819,1,740.2724196277496,251.88796769574813,619.4516129032259,162.37073601477113,797.625,226.69640631976915,966.5833333333334,167.2902311211609,1091.5570714285714,194.69150375340922,1103.258064516129,370.82176954699264
81001,Schillerpromenade,4250,3891,3108,39,196,162,1574,22,608.0685630926331,205.94598484085094,453.28125,109.37837091579647,587.3255813953489,150.76591762929925,674.8313253012049,206.18171119463767,776.8838214285715,240.15483037701193,926.7583333333333,378.63292340507655
81002,Neuköllner Mitte/Zentrum,5799,5260,4260,39,289,250,2222,70,589.7893763213531,205.22048975172592,431.3181818181818,105.25361044079442,540.9819004524887,149.36276656032348,647.5280898876405,185.84101642880483,823.0370898876401,177.17401226148468,900.6649214659686,406.6757440709388
81003,Reuterstraße,4656,4310,3405,48,165,180,1762,14,604.289429246876,193.05948964049495,492.7837837837838,107.4598465410156,598.9690721649484,162.93949884391188,722.8805970149253,195.62994769718102,733.4678235294117,211.0392554787602,909.4710743801653,374.8407900780491
